"","q101d1"
"1726",32819
"1727",47335
"1728",32819
"1729",47335
"1730",28661
"1731",47335
"1732",32819
"1733",47335
"1734",33464
"1735",25659
"1736",34197
"1737",50760
"1738",26133
"1739",25659
"1740",33969
"1741",28661
"1742",25659
"1743",62290
"1744",47335
"1745",28661
"1746",33969
"1747",33969
"1748",34197
"1749",33464
"1750",26133
"1751",28661
"1752",33464
"1753",28661
"1754",47335
"1755",28661
"1756",33464
"1757",47335
"1758",28661
"1759",19595
"1760",19595
"1761",31357
"1762",33969
"1763",57974
"1764",33969
"1765",31357
"1766",85213
"1767",29880
"1768",50760
"1769",47335
"1770",28661
"1771",28661
"1772",33969
"1773",34197
"1774",28898
"1775",47335
"1776",31357
"1777",28661
"1778",26150
"1779",28661
"1780",62290
"1781",32819
"1782",32819
"1783",32819
"1784",32819
"1785",47335
"1786",38460
"1787",33969
"1788",38460
"1789",28661
"1790",62290
"1791",25659
"1792",28661
"1793",34197
"1794",33969
"1795",38460
"1796",26150
"1797",32819
"1798",38460
"1799",25659
"1800",28661
"1801",33464
"1802",50807
"1803",33464
"1804",33969
"1805",47335
"1806",50760
"1807",33969
"1808",33969
"1809",33969
"1810",26150
"1811",62290
"1812",25659
"1813",82560
"1814",33464
"1815",50760
"1816",47377
"1817",29880
"1818",33969
"1819",33969
"1820",33969
"1821",33969
"1822",33969
"1823",33969
"1824",38460
"1825",47335
"1826",62290
"1827",30087
"1828",57974
"1829",33969
"1830",28661
"1831",28661
"1832",50760
"1833",33969
"1834",28661
"1835",33969
"1836",47335
"1837",47335
"1838",57974
"1839",26133
"1840",19595
"1841",33969
"1842",38460
"1843",33969
"1844",31357
"1845",33969
"1846",25659
"1847",47335
"1848",28661
"1849",28661
"1850",32819
"1851",28661
"1852",57974
"1853",28661
"1854",25659
"1855",25659
"1856",33969
"1857",33969
"1858",33969
"1859",28661
"1860",47335
"1861",28661
"1862",50760
"1863",50760
"1864",34197
"1865",33969
"1866",47377
"1867",26150
"1868",47335
"1869",47335
"1870",47335
"1871",33969
"1872",31357
"1873",50760
"1874",47377
"1875",33969
"1876",28661
"1877",47377
"1878",34197
"1879",28661
"1880",26133
"1881",57974
"1882",47335
"1883",25659
"1884",47377
"1885",29880
"1886",33969
"1887",33969
"1888",33969
"1889",47377
"1890",33969
"1891",33969
"1892",33969
"1893",26133
"1894",50760
"1895",19595
"1896",25659
"1897",85213
"1898",25659
"1899",47335
"1900",25659
"1901",82560
"1902",32819
"1903",28661
"1904",31357
"1905",59249
"1906",26133
"1907",47335
"1908",62290
"1909",47335
"1910",31357
"1911",28661
"1912",47377
"1913",31357
"1914",28661
"1915",62290
"1916",59249
"1917",28661
"1918",47335
"1919",62290
"1920",28661
"1921",28661
"1922",16413
"1923",62290
"1924",25659
"1925",28661
"1926",25659
"1927",32819
"1928",28661
"1929",62290
"1930",47335
"1931",28661
"1932",57974
"1933",47335
"1934",26133
"1935",32819
"1936",32819
"1937",25659
"1938",33464
"1939",19595
"1940",28661
"1941",31357
"1942",33969
"1943",33969
"1944",33969
"1945",31357
"1946",33464
"1947",26133
"1948",25659
"1949",28661
"1950",25659
"1951",25659
"1952",33464
"1953",33969
"1954",47335
"1955",33969
"1956",38460
"1957",33969
"1958",33969
"1959",26133
"1960",33969
"1961",50760
"1962",28661
"1963",26133
"1964",47335
"1965",28661
"1966",30087
"1967",33969
"1968",33969
"1969",28661
"1970",47335
"1971",26133
"1972",33969
"1973",19595
"1974",57974
"1975",62290
"1976",29880
"1977",33969
"1978",47335
"1979",34197
"1980",33969
"1981",50760
"1982",47335
"1983",33969
"1984",33969
"1985",25659
"1986",34197
"1987",34500
"1988",20077
"1989",34500
"1990",34197
"1991",34500
"1992",33969
"1993",28661
"1994",31357
"1995",25659
"1996",34197
"1997",33969
"1998",47335
"1999",28661
"2000",25659
"2001",28661
"2002",34500
"2003",32819
"2004",50760
"2005",50760
"2006",33969
"2007",34197
"2008",28661
"2009",33969
"2010",31357
"2011",34500
"2012",34500
"2013",34500
"2014",26133
"2015",34500
"2016",25659
"2017",34500
"2018",33969
"2019",25659
"2020",47335
"2021",33969
"2022",19265
"2023",47335
"2024",28661
"2025",57974
"2026",33969
"2027",28661
"2028",28661
"2029",33464
"2030",26133
"2031",34500
"2032",34197
"2033",33969
"2034",33969
"2035",33969
"2036",31357
"2037",34197
"2038",47335
"2039",25659
"2040",33969
"2041",31357
"2042",47335
"2043",33969
"2044",28661
"2045",28661
"2046",28661
"2047",28661
"2048",34197
"2049",26150
"2050",26150
"2051",33969
"2052",50760
"2053",33969
"2054",47335
"2055",33969
"2056",50760
"2057",33969
"2058",50760
"2059",31357
"2060",26133
"2061",25659
"2062",25659
"2063",31357
"2064",26133
"2065",28898
"2066",29522
"2067",32819
"2068",33969
"2069",47335
"2070",31357
"2071",31357
"2072",26133
"2073",33969
"2074",28661
"2075",33969
"2076",28661
"2077",26150
"2078",31357
"2079",57974
"2080",34197
"2081",59249
"2082",33464
"2083",34197
"2084",34197
"2085",26150
"2086",34197
"2087",32819
"2088",33969
"2089",32819
"2090",38460
"2091",38460
"2092",28661
"2093",33464
"2094",47335
"2095",33969
"2096",38460
"2097",38460
"2098",59249
"2099",26150
"2100",33969
"2101",28661
"2102",28661
"2103",33969
"2104",33969
"2105",28661
"2106",28661
"2107",28661
"2108",25659
"2109",25659
"2110",33969
"2111",47335
"2112",34197
"2113",33969
"2114",33969
"2115",59249
"2116",33969
"2117",34197
"2118",33969
"2119",33969
"2120",28661
"2121",33969
"2122",28661
"2123",33969
"2124",33969
"2125",33969
"2126",33969
"2127",33969
"2128",33969
"2129",28661
"2130",28661
"2131",33969
"2132",28661
"2133",33969
"2134",28661
"2135",31357
"2136",33969
