,toCode,fromCode,dis,areaX,areaY,Country_income,Low_Income,predicted
454,14,41,437,167000,156000,8809.44,91.7,0.074
455,15,41,955,167000,1183000,8984.92,84.8,0.027
456,21,41,1368,167000,148000,11191.49,118.6,0.024
457,22,41,1662,167000,187000,10780.12,115.6,0.023
458,23,41,1914,167000,469000,10453.2,155.6,0.029
459,31,41,943,167000,6219,21191.64,32.4,0.031
460,32,41,666,167000,102658,14958.44,40.9,0.065
461,33,41,941,167000,104141,19373.28,8.8,0.052
462,34,41,622,167000,139427,9916.42,84.2,0.046
463,35,41,1452,167000,120000,12650.19,18.1,0.029
464,36,41,961,167000,166900,10116.58,98.1,0.027
465,37,41,495,167000,157126,11882.26,60.6,0.083
466,42,41,569,167000,187400,10849.06,137.2,0.081
467,43,41,853,167000,211829,10060.17,145.1,0.033
468,44,41,1516,167000,184800,12245.56,40,0.023
469,45,41,1708,167000,236700,7793.08,57.3,0.017
470,46,41,2108,167000,34000,9912.57,17.1,0.01
471,50,41,1326,167000,82400,9489.82,56.9,0.013
472,51,41,1278,167000,488000,9347.74,189.3,0.019
473,52,41,1544,167000,170000,6671.22,54.3,0.005
474,53,41,2100,167000,394000,7456.13,93.1,0.005
475,54,41,3254,167000,1220000,6553.38,4.3,0.001
476,61,41,478,167000,205800,7932.21,84.6,0.055
477,62,41,1103,167000,454430,6276.59,88.1,0.01
478,63,41,1338,167000,721000,7282.73,23.5,0.009
479,64,41,1189,167000,66400,7598.67,20.8,0.018
480,65,41,3027,167000,1664897,7846.59,96,0.006
481,11,42,1171,187400,16411,18867.3,11.7,0.027
482,12,42,1187,187400,11920,17014.18,18,0.021
483,13,42,955,187400,190000,10186.14,88.1,0.022
484,14,42,997,187400,156000,8809.44,91.7,0.019
485,15,42,1514,187400,1183000,8984.92,84.8,0.009
486,21,42,1827,187400,148000,11191.49,118.6,0.014
487,22,42,2137,187400,187000,10780.12,115.6,0.011
488,23,42,2389,187400,469000,10453.2,155.6,0.007
489,31,42,908,187400,6219,21191.64,32.4,0.025
490,32,42,614,187400,102658,14958.44,40.9,0.059
491,33,42,860,187400,104141,19373.28,8.8,0.051
492,34,42,457,187400,139427,9916.42,84.2,0.093
493,35,42,924,187400,120000,12650.19,18.1,0.031
494,36,42,434,187400,166900,10116.58,98.1,0.071
495,37,42,919,187400,157126,11882.26,60.6,0.023
496,41,42,569,187400,167000,9966.07,141.9,0.079
497,43,42,361,187400,211829,10060.17,145.1,0.085
498,44,42,1021,187400,184800,12245.56,40,0.027
499,45,42,1215,187400,236700,7793.08,57.3,0.021
