q101b1,q101c1,q101e1,q101f1,q203,q207
2,198201,1,7,-1,-1
2,198109,10,6,-1,-1
2,198103,1,6,15,10000
2,197807,1,5,-1,-1
2,197702,1,6,6,5000
2,198809,1,7,15,10000
2,198112,3,7,13,50000
2,198111,1,7,15,4000
2,198202,1,7,13,3500
2,198005,1,7,-1,-1
2,197809,2,6,12,3100
2,198611,1,7,8,3250
2,198210,14,7,-1,-1
2,197811,14,7,6,3500
1,197301,1,3,1,6000
2,199205,1,3,1,800
1,198803,1,3,7,2000
1,197604,1,3,7,5000
1,196805,1,3,6,5000
2,198810,1,3,8,1500
1,198803,1,3,1,3000
1,197805,1,3,1,2000
1,199310,1,3,7,1200
1,196806,1,2,4,1500
1,197909,1,3,4,1900
2,197701,1,2,1,1000
1,197110,1,2,1,1800
1,198112,1,2,4,2000
2,198603,1,3,1,2000
1,196802,1,3,1,1100
2,199008,1,3,4,800
1,198009,1,3,1,3000
1,197802,1,3,4,3000
1,198512,1,3,4,3000
2,198412,1,3,-1,-1
1,196612,1,3,7,2000
2,199401,1,4,8,1000
2,196710,20,3,7,1500
2,198407,1,2,-1,-1
1,197112,1,3,7,1500
1,197409,1,3,15,1000
1,196802,1,3,6,1000
2,197303,1,2,6,3000
2,196708,1,3,15,1500
1,197607,1,2,15,3000
2,197805,1,3,15,2500
2,198310,1,3,-1,-1
2,198007,1,4,7,3000
1,199204,1,4,1,2500
2,196606,1,5,1,2900
2,197206,1,7,1,3000
1,199210,1,3,1,2000
2,198607,1,3,1,1900
2,196907,1,3,1,1900
1,197708,1,5,6,1500
1,197302,1,2,7,2000
1,198005,1,3,10,2500
2,196408,1,3,1,2000
2,198503,1,5,1,2000
1,199103,1,3,1,2800
2,197605,1,3,1,1900
1,198508,1,3,1,3000
2,199106,1,4,1,2200
1,198609,1,6,1,2500
1,198412,1,3,1,3500
2,198808,1,3,1,2300
1,197310,1,4,1,2700
1,198407,1,3,1,3200
1,198110,1,5,1,2500
1,196701,1,5,1,3000
1,197312,1,3,1,3400
2,197601,1,3,-1,-1
2,197306,1,2,6,1500
2,197411,1,3,7,2000
2,198011,1,3,-1,-1
2,196806,1,3,-1,-1
2,198903,1,3,8,1500
2,196208,1,3,-1,-1
2,197609,1,3,-1,-1
2,199210,1,3,8,2500
1,199208,1,3,4,2000
1,199110,1,3,4,1800
2,198311,1,4,8,2000
2,198906,1,4,8,3000
2,198309,1,7,13,4000
2,198802,1,4,8,3000
2,198506,1,4,8,2800
2,199012,1,4,8,3000
1,199112,1,4,4,2800
1,198110,1,3,4,3200
1,198609,1,3,4,2200
1,198910,1,3,4,2100
2,198809,1,5,8,2800
1,199112,1,4,9,3500
1,199110,1,3,4,2300
1,199001,1,3,4,2800
1,199301,1,3,9,3200
2,197212,1,3,-1,-1
2,196810,1,3,-1,-1
2,197703,1,3,-1,-1
2,199112,1,3,8,2000
2,199110,1,3,8,2600
2,198703,1,3,8,2400
1,199207,1,5,1,2500
1,199302,1,3,8,1800
1,199309,1,3,10,1500
1,198904,1,3,10,2500
1,199110,1,3,8,2000
2,199303,1,7,12,2800
1,197810,1,3,8,1000
1,198407,1,3,8,3000
