q101b1,q101c1,q101e1,q101f1,q101g1,q101h1,q101i1,q101m1,q203,q206,q207,q211,q212,q213,q301
1,198908,1,5,1,1,1,1,6,1,2000,2,2,-1,-1
1,199009,1,5,1,1,1,1,7,1,2500,2,1,1,-1
2,199404,1,4,2,1,1,2,7,1,2600,2,2,-1,-1
2,198108,1,4,1,2,4,1,-1,-1,-1,4,2,-1,200605
2,198307,1,5,1,1,1,1,9,1,3000,2,1,1,-1
2,198903,1,5,1,2,1,1,6,1,1000,2,1,3,201202
1,199310,1,3,1,1,1,1,7,4,1500,2,1,1,-1
2,198606,1,4,1,2,1,1,6,1,3000,2,1,1,200903
2,198706,1,3,1,2,4,1,-1,-1,-1,4,2,-1,201005
2,198311,1,4,1,2,4,1,-1,-1,-1,2,2,-1,200705
2,198204,1,6,2,2,1,1,15,1,8000,1,1,2,200808
1,198008,7,8,2,2,1,1,13,1,6000,7,1,2,200805
2,198211,1,8,2,2,1,1,13,1,6000,7,1,2,200908
1,198009,1,4,1,2,1,1,6,3,8000,1,1,2,201001
2,198101,1,4,1,2,3,1,-1,-1,-1,2,2,-1,201001
1,198604,1,6,1,2,1,1,7,1,4000,2,1,2,201102
2,198910,1,4,1,2,5,1,-1,-1,-1,2,2,-1,201102
2,199002,1,3,1,1,1,1,7,1,2000,4,1,2,-1
2,198302,1,8,2,2,1,1,15,1,8000,7,1,2,200909
1,198108,1,5,2,2,1,1,1,1,6000,7,1,2,-9
2,198606,1,5,1,2,1,1,1,1,8000,7,1,2,201110
2,199111,1,5,2,1,1,1,7,1,3500,2,1,2,-1
2,198811,1,3,1,2,4,1,-1,-1,-1,2,2,-1,201109
2,198802,1,6,1,1,1,1,13,1,4000,2,1,2,-1
2,198507,1,7,2,2,1,1,7,1,5000,1,1,2,201002
1,198503,1,7,1,2,1,1,4,1,3000,1,1,2,201002
2,198911,1,3,2,1,1,1,7,1,3000,2,1,2,-1
2,197810,1,4,1,2,4,1,-1,-1,-1,2,2,-1,200901
2,198302,1,7,2,2,1,1,4,1,7000,7,1,2,201110
2,199011,1,3,1,1,1,1,15,1,1900,4,1,2,-1
1,199103,1,4,1,1,1,1,4,1,1500,9,2,-1,-1
1,199209,1,3,1,1,1,1,4,1,1500,9,2,-1,-1
1,199501,1,3,1,1,1,1,4,1,1500,9,2,-1,-1
1,199310,1,3,1,1,1,1,4,1,1500,9,2,-1,-1
1,199307,1,3,1,1,1,1,4,1,1500,9,2,-1,-1
1,198508,1,3,1,2,1,1,4,1,1500,9,2,-1,201011
1,198409,1,4,1,2,1,1,4,1,1000,9,2,-1,200612
1,196707,1,3,2,3,1,1,4,1,1500,9,2,-1,199112
1,197601,1,4,1,2,1,1,4,1,1000,9,2,-1,200110
1,198901,1,4,1,1,1,1,4,1,1500,9,2,-1,-1
1,199111,1,3,1,1,1,1,4,1,1500,9,2,-1,-1
1,199111,1,3,1,1,1,1,4,1,1500,9,2,-1,-1
1,199008,1,4,1,1,1,1,4,1,1500,9,2,-1,-1
1,198705,1,3,1,1,1,1,4,1,1500,9,2,-1,-1
1,199102,1,3,2,1,1,1,4,1,1500,9,2,-1,-1
1,199111,1,4,1,1,1,1,4,1,1500,9,2,-1,-1
1,199003,1,4,1,1,1,1,4,1,1500,9,2,-1,-1
1,198910,1,3,1,1,1,1,4,1,1500,9,2,-1,-1
1,199009,1,4,1,1,1,1,4,1,1500,9,2,-1,-1
1,199303,1,4,1,1,1,1,4,1,1500,9,2,-1,-1
2,198204,1,7,1,2,1,1,12,1,8000,7,1,3,200902
2,197901,1,6,1,2,1,2,6,2,10000,2,2,-1,200305
2,198608,1,7,1,1,1,2,6,1,3000,2,1,3,-1
2,197501,1,6,1,2,1,1,15,1,3000,2,1,3,200211
2,198306,1,6,2,2,3,2,-1,-1,-1,2,2,-1,200612
1,198810,1,7,2,2,1,1,6,3,5000,2,2,-1,201110
1,196204,1,7,2,2,1,1,4,1,6000,2,1,2,198801
