@relation 2011CombData-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R4_predicted

@attribute predictedrate numeric
@attribute rate numeric
@attribute dis numeric
@attribute orgGDP numeric
@attribute Population numeric
@attribute Birth_Rate numeric
@attribute Avg_Life numeric
@attribute GDP_PC numeric
@attribute Unemploy_Rate numeric
@attribute Flat_Rates numeric
@attribute Price_Rates numeric
@attribute City_Income numeric
@attribute Country_income numeric
@attribute Green_Rate numeric
@attribute Disasters numeric
@attribute Stu_Rate_H numeric
@attribute Low_Income numeric
@attribute Low_Income_Insurance numeric

@data
0.004948,0.004842,1888,38460,39352,12.23,75.08,25659,3.7,4776.1,105.6,18606.1,6232.2,7.6,175,2007,84.2,254
0.003212,0.007042,1272,38460,37618,11.5,76.46,47335,3.4,4447.73,105,22791.8,8342.1,16.56,27,2191,60.6,286
0.000753,0,4157,82560,49464,15.39,68.17,20077,3.2,3474.51,105,16195.6,4904.3,0.29,139,1446,4.3,306
0.016799,0.027174,1450,34500,39230,10.47,74.92,31357,3.5,3432.71,105.2,18123.9,5601.4,3.25,14,2202,91.7,231
0.002956,0.002641,2341,38460,33239,13.48,74.33,26150,3,4147.7,105.2,17494.9,6891.6,4.51,660,2212,98.1,244
0.000817,0,2227,57974,36102,13.31,71.1,16413,3.6,3888.78,105.1,16495,4145.4,3.05,214,1254,54.3,212
0.002418,0.002789,3316,47335,38238,14.99,72.35,30087,3.2,3548.79,105.9,15513.6,5442.2,4.41,24,1521,96,183
0.003306,0,3074,33043,36244,14.72,76.3,28898,1.7,8943.45,106.1,18369,6446,4.98,107,2079,17.1,250
0.025637,0.019461,2197,50807,55658,8.58,78.89,85213,3.6,8744.77,104.9,26920.9,12321.2,2.17,0,4329,18,450
0.00087,0,2598,38460,32092,12.08,72.23,19595,3.1,3318.24,105.9,14988.7,3909.4,1.63,115,2041,88.1,189
0.021228,0.029746,1593,26133,35309,13.02,74.97,33969,3.8,3982.85,105.7,18292.2,7119.7,7.11,18,2006,88.1,265
0.00083,0,1205,26150,38143,9.75,74.68,33464,3.6,4949.2,105.7,18245.2,5027.9,2.82,667,3378,84.6,284
